name,evolves-from
jumpluff,skiploom
ambipom,aipom
sunflora,sunkern
yanmega,yanma
quagsire,wooper
clodsire,wooper
honchkrow,murkrow
mismagius,misdreavus
unown,
wobbuffet,wynaut
farigiraf,girafarig
forretress,pineco
dudunsparce,dunsparce
gliscor,gligar
granbull,snubbull
overqwil,qwilfish
shuckle,
heracross,
weavile,sneasel
sneasler,sneasel
ursaring,teddiursa
ursaluna,ursaring
magcargo,slugma
piloswine,swinub
mamoswine,piloswine
cursola,corsola
octillery,remoraid
delibird,
mantine,mantyke
skarmory,
houndoom,houndour
donphan,phanpy
wyrdeer,stantler
smeargle,
miltank,
raikou,
entei,
suicune,
pupitar,larvitar
tyranitar,pupitar
lugia,
ho-oh,
celebi,
grovyle,treecko
sceptile,grovyle
combusken,torchic
blaziken,combusken
marshtomp,mudkip
swampert,marshtomp
mightyena,poochyena
linoone,zigzagoon
obstagoon,linoone
silcoon,wurmple
cascoon,wurmple
beautifly,silcoon
lombre,lotad
ludicolo,lombre
nuzleaf,seedot
shiftry,nuzleaf
swellow,taillow
pelipper,wingull
kirlia,ralts
gardevoir,kirlia
gallade,kirlia
masquerain,surskit
breloom,shroomish
vigoroth,slakoth
slaking,vigoroth
ninjask,nincada
shedinja,nincada
loudred,whismur
exploud,loudred
hariyama,makuhita
probopass,nosepass
delcatty,skitty
sableye,
mawile,
lairon,aron
aggron,lairon
medicham,meditite
manectric,electrike
plusle,
minun,
volbeat,
illumise,
roselia,budew
roserade,roselia
swalot,gulpin
sharpedo,carvanha
wailord,wailmer
camerupt,numel
torkoal,
grumpig,spoink
spinda,
vibrava,trapinch
flygon,vibrava
cacturne,cacnea
altaria,swablu
zangoose,
seviper,
lunatone,
solrock,
whiscash,barboach
crawdaunt,corphish
claydol,baltoy
cradily,lileep
armaldo,anorith
milotic,feebas
castform,
kecleon,
banette,shuppet
dusclops,duskull
dusknoir,dusclops
tropius,
chimecho,chingling
absol,
glalie,snorunt
froslass,snorunt
sealeo,spheal
walrein,sealeo
huntail,clamperl
gorebyss,clamperl
relicanth,
luvdisc,
shelgon,bagon
salamence,shelgon
metang,beldum
metagross,metang
regirock,
regice,
registeel,
latias,
latios,
kyogre,
groudon,
rayquaza,
jirachi,
deoxys,
grotle,turtwig
torterra,grotle
monferno,chimchar
infernape,monferno
prinplup,piplup
empoleon,prinplup
staravia,starly
staraptor,staravia
bibarel,bidoof
kricketune,kricketot
luxio,shinx
luxray,luxio
rampardos,cranidos
bastiodon,shieldon
wormadam,burmy
mothim,burmy
vespiquen,combee
pachirisu,
floatzel,buizel
cherrim,cherubi
gastrodon,shellos
drifblim,drifloon
lopunny,buneary
purugly,glameow
skuntank,stunky
bronzong,bronzor
chatot,
spiritomb,
gabite,gible
garchomp,gabite
lucario,riolu
hippowdon,hippopotas
drapion,skorupi
toxicroak,croagunk
carnivine,
lumineon,finneon
abomasnow,snover
rotom,
uxie,
mesprit,
azelf,
dialga,
palkia,
heatran,
regigigas,
giratina,
cresselia,
manaphy,phione
darkrai,
shaymin,
arceus,
victini,
servine,snivy
serperior,servine
pignite,tepig
emboar,pignite
dewott,oshawott
samurott,dewott
watchog,patrat
herdier,lillipup
stoutland,herdier
liepard,purrloin
simisage,pansage
simisear,pansear
simipour,panpour
musharna,munna
tranquill,pidove
unfezant,tranquill
zebstrika,blitzle
boldore,roggenrola
gigalith,boldore
swoobat,woobat
excadrill,drilbur
audino,
gurdurr,timburr
conkeldurr,gurdurr
palpitoad,tympole
seismitoad,palpitoad
throh,
sawk,
swadloon,sewaddle
leavanny,swadloon
whirlipede,venipede
scolipede,whirlipede
whimsicott,cottonee
lilligant,petilil
basculegion,basculin
krokorok,sandile
krookodile,krokorok
darmanitan,darumaka
maractus,
crustle,dwebble
scrafty,scraggy
sigilyph,
cofagrigus,yamask
runerigus,yamask
carracosta,tirtouga
archeops,archen
garbodor,trubbish
zoroark,zorua
cinccino,minccino
gothorita,gothita
gothitelle,gothorita
duosion,solosis
reuniclus,duosion
swanna,ducklett
vanillish,vanillite
vanilluxe,vanillish
sawsbuck,deerling
emolga,
escavalier,karrablast
amoonguss,foongus
jellicent,frillish
alomomola,
galvantula,joltik
ferrothorn,ferroseed
klang,klink
klinklang,klang
eelektrik,tynamo
eelektross,eelektrik
beheeyem,elgyem
lampent,litwick
chandelure,lampent
fraxure,axew
haxorus,fraxure
beartic,cubchoo
cryogonal,
accelgor,shelmet
stunfisk,
mienshao,mienfoo
druddigon,
golurk,golett
bisharp,pawniard
kingambit,bisharp
bouffalant,
braviary,rufflet
mandibuzz,vullaby
heatmor,
durant,
zweilous,deino
hydreigon,zweilous
volcarona,larvesta
cobalion,
terrakion,
virizion,
tornadus,
thundurus,
reshiram,
zekrom,
landorus,
kyurem,
keldeo,
meloetta,
genesect,
quilladin,chespin
chesnaught,quilladin
braixen,fennekin
delphox,braixen
frogadier,froakie
greninja,frogadier
diggersby,bunnelby
fletchinder,fletchling
talonflame,fletchinder
spewpa,scatterbug
vivillon,spewpa
pyroar,litleo
floette,flabebe
florges,floette
gogoat,skiddo
pangoro,pancham
furfrou,
meowstic,espurr
doublade,honedge
aegislash,doublade
aromatisse,spritzee
slurpuff,swirlix
malamar,inkay
barbaracle,binacle
dragalge,skrelp
clawitzer,clauncher
heliolisk,helioptile
tyrantrum,tyrunt
aurorus,amaura
hawlucha,
dedenne,
carbink,
sliggoo,goomy
goodra,sliggoo
klefki,
trevenant,phantump
gourgeist,pumpkaboo
avalugg,bergmite
noivern,noibat
xerneas,
yveltal,
zygarde,
diancie,
hoopa,
volcanion,
dartrix,rowlet
decidueye,dartrix
torracat,litten
incineroar,torracat
brionne,popplio
primarina,brionne
trumbeak,pikipek
toucannon,trumbeak
gumshoos,yungoos
charjabug,grubbin
vikavolt,charjabug
crabominable,crabrawler
oricorio,
ribombee,cutiefly
lycanroc,rockruff
wishiwashi,
toxapex,mareanie
mudsdale,mudbray
araquanid,dewpider
lurantis,fomantis
shiinotic,morelull
salazzle,salandit
bewear,stufful
steenee,bounsweet
tsareena,steenee
comfey,
oranguru,
passimian,
golisopod,wimpod
palossand,sandygast
pyukumuku,
silvally,type-null
minior,
komala,
turtonator,
togedemaru,
mimikyu,
bruxish,
drampa,
dhelmise,
hakamo-o,jangmo-o
kommo-o,hakamo-o
tapu-koko,
tapu-lele,
tapu-bulu,
tapu-fini,
cosmoem,cosmog
solgaleo,cosmoem
lunala,cosmoem
nihilego,
buzzwole,
pheromosa,
xurkitree,
celesteela,
kartana,
guzzlord,
necrozma,
magearna,
marshadow,
naganadel,poipole
stakataka,
blacephalon,
zeraora,
meltan,
melmetal,
thwackey,grookey
rillaboom,thwackey
raboot,scorbunny
cinderace,raboot
drizzile,sobble
inteleon,drizzile
greedent,skwovet
corvisquire,rookidee
corviknight,corvisquire
dottler,blipbug
orbeetle,dottler
thievul,nickit
eldegoss,gossifleur
dubwool,wooloo
drednaw,chewtle
boltund,yamper
carkol,rolycoly
coalossal,carkol
flapple,applin
appletun,applin
sandaconda,silicobra
cramorant,
barraskewda,arrokuda
toxtricity,toxel
centiskorch,sizzlipede
grapploct,clobbopus
polteageist,sinistea
hattrem,hatenna
hatterene,hattrem
morgrem,impidimp
grimmsnarl,morgrem
alcremie,milcery
falinks,
pincurchin,
frosmoth,snom
stonjourner,
eiscue,
indeedee,
morpeko,
copperajah,cufant
dracozolt,
arctozolt,
dracovish,
arctovish,
duraludon,
drakloak,dreepy
dragapult,drakloak
zacian,
zamazenta,
eternatus,
urshifu,kubfu
zarude,
regieleki,
regidrago,
glastrier,
spectrier,
calyrex,
enamorus,
floragato,sprigatito
meowscarada,floragato
crocalor,fuecoco
skeledirge,crocalor
quaxwell,quaxly
quaquaval,quaxwell
oinkologne,lechonk
spidops,tarountula
lokix,nymble
pawmo,pawmi
pawmot,pawmo
maushold,tandemaus
dachsbun,fidough
dolliv,smoliv
arboliva,dolliv
squawkabilly,
naclstack,nacli
garganacl,naclstack
armarouge,charcadet
ceruledge,charcadet
bellibolt,tadbulb
kilowattrel,wattrel
mabosstiff,maschiff
grafaiai,shroodle
brambleghast,bramblin
toedscruel,toedscool
klawf,
scovillain,capsakid
rabsca,rellor
espathra,flittle
tinkatuff,tinkatink
tinkaton,tinkatuff
wugtrio,wiglett
bombirdier,
palafin,finizen
revavroom,varoom
cyclizar,
orthworm,
glimmora,glimmet
houndstone,greavard
flamigo,
cetitan,cetoddle
veluza,
dondozo,
tatsugiri,
great-tusk,
scream-tail,
brute-bonnet,
flutter-mane,
slither-wing,
sandy-shocks,
iron-treads,
iron-bundle,
iron-hands,
iron-jugulis,
iron-moth,
iron-thorns,
arctibax,frigibax
baxcalibur,arctibax
gholdengo,gimmighoul
wo-chien,
chien-pao,
ting-lu,
chi-yu,
roaring-moon,
iron-valiant,
koraidon,
miraidon,
walking-wake,
iron-leaves,
